cohort_month,cohort_size,months_since_cohort,active_customers,retention_pct
2022-07-01,21,19,7,33.3
2022-07-01,21,20,6,28.6
2022-07-01,21,21,2,9.5
2022-07-01,21,22,4,19.0
2022-07-01,21,23,5,23.8
2022-07-01,21,24,6,28.6
2022-07-01,21,25,4,19.0
2022-07-01,21,26,1,4.8
2022-07-01,21,27,3,14.3
2022-07-01,21,28,6,28.6
2022-07-01,21,29,4,19.0
2022-08-01,17,0,17,100.0
2022-08-01,17,1,5,29.4
2022-08-01,17,2,4,23.5
2022-08-01,17,3,2,11.8
2022-08-01,17,5,2,11.8
2022-08-01,17,6,5,29.4
2022-08-01,17,7,6,35.3
2022-08-01,17,8,1,5.9
2022-08-01,17,9,6,35.3
2022-08-01,17,10,4,23.5
2022-08-01,17,11,6,35.3
2022-08-01,17,12,2,11.8
2022-08-01,17,13,5,29.4
2022-08-01,17,14,2,11.8
2022-08-01,17,15,2,11.8
2022-08-01,17,16,1,5.9
2022-08-01,17,17,7,41.2
2022-08-01,17,18,2,11.8
2022-08-01,17,19,4,23.5
2022-08-01,17,20,5,29.4
2022-08-01,17,21,4,23.5
2022-08-01,17,22,2,11.8
2022-08-01,17,23,2,11.8
2022-08-01,17,24,3,17.6
2022-08-01,17,25,4,23.5
2022-08-01,17,26,4,23.5
2022-08-01,17,27,3,17.6
2022-08-01,17,28,2,11.8
2022-09-01,16,0,16,100.0
2022-09-01,16,1,4,25.0
2022-09-01,16,2,4,25.0
2022-09-01,16,3,3,18.8
2022-09-01,16,4,2,12.5
2022-09-01,16,5,3,18.8
2022-09-01,16,6,4,25.0
2022-09-01,16,7,3,18.8
2022-09-01,16,8,7,43.8
2022-09-01,16,9,5,31.3
2022-09-01,16,10,2,12.5
2022-09-01,16,11,7,43.8
2022-09-01,16,12,4,25.0
2022-09-01,16,13,6,37.5
2022-09-01,16,14,3,18.8
2022-09-01,16,15,3,18.8
2022-09-01,16,16,7,43.8
2022-09-01,16,17,6,37.5
2022-09-01,16,18,1,6.3
2022-09-01,16,19,1,6.3
2022-09-01,16,20,9,56.3
2022-09-01,16,21,5,31.3
2022-09-01,16,22,4,25.0
2022-09-01,16,23,4,25.0
2022-09-01,16,24,6,37.5
2022-09-01,16,25,3,18.8
2022-09-01,16,26,3,18.8
2022-09-01,16,27,4,25.0
2022-10-01,17,0,17,100.0
2022-10-01,17,1,2,11.8
2022-10-01,17,2,3,17.6
2022-10-01,17,3,3,17.6
2022-10-01,17,4,6,35.3
2022-10-01,17,5,5,29.4
2022-10-01,17,6,1,5.9
2022-10-01,17,7,3,17.6
2022-10-01,17,8,3,17.6
2022-10-01,17,9,2,11.8
2022-10-01,17,10,4,23.5
2022-10-01,17,11,1,5.9
2022-10-01,17,12,4,23.5
2022-10-01,17,13,3,17.6
2022-10-01,17,14,3,17.6
2022-10-01,17,15,3,17.6
2022-10-01,17,16,4,23.5
2022-10-01,17,17,4,23.5
2022-10-01,17,18,3,17.6
2022-10-01,17,19,5,29.4
2022-10-01,17,20,5,29.4
2022-10-01,17,21,3,17.6
2022-10-01,17,22,3,17.6
2022-10-01,17,23,3,17.6
2022-10-01,17,24,1,5.9
2022-10-01,17,25,3,17.6
2022-10-01,17,26,3,17.6
2022-11-01,15,0,15,100.0
2022-11-01,15,1,2,13.3
2022-11-01,15,2,6,40.0
2022-11-01,15,3,6,40.0
2022-11-01,15,4,5,33.3
2022-11-01,15,5,1,6.7
2022-11-01,15,6,2,13.3
2022-11-01,15,7,3,20.0
2022-11-01,15,8,5,33.3
2022-11-01,15,9,2,13.3
2022-11-01,15,10,3,20.0
2022-11-01,15,11,4,26.7
2022-11-01,15,12,4,26.7
2022-11-01,15,13,2,13.3
2022-11-01,15,14,4,26.7
2022-11-01,15,15,6,40.0
2022-11-01,15,16,1,6.7
2022-11-01,15,17,2,13.3
2022-11-01,15,18,3,20.0
2022-11-01,15,19,3,20.0
2022-11-01,15,20,5,33.3
2022-11-01,15,21,4,26.7
2022-11-01,15,22,4,26.7
2022-11-01,15,23,3,20.0
2022-11-01,15,24,4,26.7
2022-11-01,15,25,5,33.3
2022-12-01,11,0,11,100.0
2022-12-01,11,1,2,18.2
2022-12-01,11,2,2,18.2
2022-12-01,11,3,1,9.1
2022-12-01,11,4,2,18.2
2022-12-01,11,5,2,18.2
2022-12-01,11,6,1,9.1
2022-12-01,11,7,5,45.5
2022-12-01,11,8,3,27.3
2022-12-01,11,10,5,45.5
2022-12-01,11,11,5,45.5
2022-12-01,11,12,3,27.3
2022-12-01,11,13,2,18.2
2022-12-01,11,14,2,18.2
2022-12-01,11,15,3,27.3
2022-12-01,11,16,4,36.4
2022-12-01,11,17,2,18.2
2022-12-01,11,18,4,36.4
2022-12-01,11,19,3,27.3
2022-12-01,11,20,1,9.1
2022-12-01,11,21,2,18.2
2022-12-01,11,22,1,9.1
2022-12-01,11,23,2,18.2
2022-12-01,11,24,3,27.3
2023-01-01,12,0,12,100.0
2023-01-01,12,1,4,33.3
2023-01-01,12,2,4,33.3
2023-01-01,12,3,4,33.3
2023-01-01,12,4,5,41.7
2023-01-01,12,5,5,41.7
2023-01-01,12,6,3,25.0
2023-01-01,12,7,3,25.0
2023-01-01,12,8,2,16.7
2023-01-01,12,9,3,25.0
2023-01-01,12,10,5,41.7
2023-01-01,12,11,4,33.3
2023-01-01,12,12,4,33.3
2023-01-01,12,13,5,41.7
2023-01-01,12,14,2,16.7
2023-01-01,12,15,3,25.0
2023-01-01,12,16,3,25.0
2023-01-01,12,17,2,16.7
2023-01-01,12,18,3,25.0
2023-01-01,12,19,4,33.3
2023-01-01,12,20,4,33.3
2023-01-01,12,21,2,16.7
2023-01-01,12,22,3,25.0
2023-01-01,12,23,2,16.7
2023-02-01,12,0,12,100.0
2023-02-01,12,1,4,33.3
2023-02-01,12,2,3,25.0
2023-02-01,12,3,3,25.0
2023-02-01,12,4,3,25.0
2023-02-01,12,5,1,8.3
2023-02-01,12,7,3,25.0
2023-02-01,12,8,5,41.7
2023-02-01,12,10,4,33.3
2023-02-01,12,11,5,41.7
2023-02-01,12,12,2,16.7
2023-02-01,12,13,4,33.3
2023-02-01,12,14,2,16.7
2023-02-01,12,15,2,16.7
2023-02-01,12,16,1,8.3
2023-02-01,12,17,4,33.3
2023-02-01,12,18,3,25.0
2023-02-01,12,19,2,16.7
2023-02-01,12,20,3,25.0
2023-02-01,12,21,3,25.0
2023-02-01,12,22,3,25.0
2023-03-01,11,0,11,100.0
2023-03-01,11,1,3,27.3
2023-03-01,11,2,3,27.3
2023-03-01,11,3,2,18.2
2023-03-01,11,4,2,18.2
2023-03-01,11,5,2,18.2
2023-03-01,11,6,2,18.2
2023-03-01,11,7,5,45.5
2023-03-01,11,8,5,45.5
2023-03-01,11,9,5,45.5
2023-03-01,11,10,6,54.5
2023-03-01,11,11,5,45.5
2023-03-01,11,12,5,45.5
2023-03-01,11,13,5,45.5
2023-03-01,11,14,2,18.2
2023-03-01,11,15,5,45.5
2023-03-01,11,16,2,18.2
2023-03-01,11,17,4,36.4
2023-03-01,11,18,2,18.2
2023-03-01,11,19,5,45.5
2023-03-01,11,20,2,18.2
2023-03-01,11,21,3,27.3
2023-04-01,15,0,15,100.0
2023-04-01,15,1,6,40.0
2023-04-01,15,2,6,40.0
2023-04-01,15,3,4,26.7
2023-04-01,15,4,5,33.3
2023-04-01,15,5,7,46.7
2023-04-01,15,6,6,40.0
2023-04-01,15,7,2,13.3
2023-04-01,15,8,5,33.3
2023-04-01,15,9,3,20.0
2023-04-01,15,10,3,20.0
2023-04-01,15,11,2,13.3
2023-04-01,15,12,4,26.7
2023-04-01,15,13,4,26.7
2023-04-01,15,14,4,26.7
2023-04-01,15,15,4,26.7
2023-04-01,15,16,8,53.3
2023-04-01,15,17,3,20.0
2023-04-01,15,18,6,40.0
2023-04-01,15,19,3,20.0
2023-04-01,15,20,3,20.0
2023-05-01,19,0,19,100.0
2023-05-01,19,1,7,36.8
2023-05-01,19,2,6,31.6
2023-05-01,19,3,6,31.6
2023-05-01,19,4,2,10.5
2023-05-01,19,5,10,52.6
2023-05-01,19,6,3,15.8
2023-05-01,19,7,5,26.3
2023-05-01,19,8,8,42.1
2023-05-01,19,9,7,36.8
2023-05-01,19,10,5,26.3
2023-05-01,19,11,4,21.1
2023-05-01,19,12,6,31.6
2023-05-01,19,13,7,36.8
2023-05-01,19,14,3,15.8
2023-05-01,19,15,7,36.8
2023-05-01,19,16,6,31.6
2023-05-01,19,17,4,21.1
2023-05-01,19,18,6,31.6
2023-05-01,19,19,5,26.3
2023-06-01,9,0,9,100.0
2023-06-01,9,1,4,44.4
2023-06-01,9,2,3,33.3
2023-06-01,9,3,3,33.3
2023-06-01,9,4,4,44.4
2023-06-01,9,5,1,11.1
2023-06-01,9,6,1,11.1
2023-06-01,9,7,1,11.1
2023-06-01,9,8,1,11.1
2023-06-01,9,9,1,11.1
2023-06-01,9,11,4,44.4
2023-06-01,9,12,5,55.6
2023-06-01,9,13,1,11.1
2023-06-01,9,14,2,22.2
2023-06-01,9,15,3,33.3
2023-06-01,9,16,1,11.1
2023-06-01,9,17,3,33.3
2023-06-01,9,18,4,44.4
2023-07-01,15,0,15,100.0
2023-07-01,15,1,5,33.3
2023-07-01,15,2,4,26.7
2023-07-01,15,3,3,20.0
2023-07-01,15,4,6,40.0
2023-07-01,15,5,8,53.3
2023-07-01,15,6,5,33.3
2023-07-01,15,7,8,53.3
2023-07-01,15,8,3,20.0
2023-07-01,15,9,4,26.7
2023-07-01,15,10,3,20.0
2023-07-01,15,11,3,20.0
2023-07-01,15,12,4,26.7
2023-07-01,15,13,6,40.0
2023-07-01,15,14,4,26.7
2023-07-01,15,15,4,26.7
2023-07-01,15,16,6,40.0
2023-07-01,15,17,6,40.0
2023-08-01,13,0,13,100.0
2023-08-01,13,1,3,23.1
2023-08-01,13,2,3,23.1
2023-08-01,13,3,3,23.1
2023-08-01,13,4,6,46.2
2023-08-01,13,5,2,15.4
2023-08-01,13,6,4,30.8
2023-08-01,13,7,3,23.1
2023-08-01,13,8,5,38.5
2023-08-01,13,9,6,46.2
2023-08-01,13,10,2,15.4
2023-08-01,13,11,3,23.1
2023-08-01,13,12,3,23.1
2023-08-01,13,13,6,46.2
2023-08-01,13,14,3,23.1
2023-08-01,13,15,7,53.8
2023-08-01,13,16,4,30.8
2023-09-01,12,0,12,100.0
2023-09-01,12,1,4,33.3
2023-09-01,12,2,2,16.7
2023-09-01,12,3,5,41.7
2023-09-01,12,5,2,16.7
2023-09-01,12,6,5,41.7
2023-09-01,12,7,1,8.3
2023-09-01,12,8,3,25.0
2023-09-01,12,9,6,50.0
2023-09-01,12,10,6,50.0
2023-09-01,12,11,4,33.3
2023-09-01,12,12,6,50.0
2023-09-01,12,13,6,50.0
2023-09-01,12,14,7,58.3
2023-09-01,12,15,8,66.7
2023-10-01,13,0,13,100.0
2023-10-01,13,1,7,53.8
2023-10-01,13,2,4,30.8
2023-10-01,13,3,8,61.5
2023-10-01,13,4,3,23.1
2023-10-01,13,5,6,46.2
2023-10-01,13,6,3,23.1
2023-10-01,13,7,4,30.8
2023-10-01,13,8,7,53.8
2023-10-01,13,9,3,23.1
2023-10-01,13,10,5,38.5
2023-10-01,13,11,5,38.5
2023-10-01,13,12,4,30.8
2023-10-01,13,13,5,38.5
2023-10-01,13,14,5,38.5
2023-11-01,16,0,16,100.0
2023-11-01,16,1,5,31.3
2023-11-01,16,3,7,43.8
2023-11-01,16,4,9,56.3
2023-11-01,16,5,8,50.0
2023-11-01,16,6,7,43.8
2023-11-01,16,7,7,43.8
2023-11-01,16,8,6,37.5
2023-11-01,16,9,7,43.8
2023-11-01,16,10,9,56.3
2023-11-01,16,11,6,37.5
2023-11-01,16,12,4,25.0
2023-11-01,16,13,8,50.0
2023-12-01,15,0,15,100.0
2023-12-01,15,1,2,13.3
2023-12-01,15,2,6,40.0
2023-12-01,15,3,5,33.3
2023-12-01,15,4,1,6.7
2023-12-01,15,5,4,26.7
2023-12-01,15,6,5,33.3
2023-12-01,15,7,8,53.3
2023-12-01,15,8,5,33.3
2023-12-01,15,9,7,46.7
2023-12-01,15,10,6,40.0
2023-12-01,15,11,4,26.7
2023-12-01,15,12,5,33.3
2024-01-01,9,0,9,100.0
2024-01-01,9,1,5,55.6
2024-01-01,9,2,1,11.1
2024-01-01,9,3,6,66.7
2024-01-01,9,4,4,44.4
2024-01-01,9,5,3,33.3
2024-01-01,9,6,3,33.3
2024-01-01,9,7,4,44.4
2024-01-01,9,8,1,11.1
2024-01-01,9,9,3,33.3
2024-01-01,9,10,3,33.3
2024-01-01,9,11,5,55.6
2024-02-01,8,0,8,100.0
2024-02-01,8,1,6,75.0
2024-02-01,8,2,4,50.0
2024-02-01,8,3,1,12.5
2024-02-01,8,4,3,37.5
2024-02-01,8,5,3,37.5
2024-02-01,8,6,5,62.5
2024-02-01,8,7,5,62.5
2024-02-01,8,8,4,50.0
2024-02-01,8,9,1,12.5
2024-02-01,8,10,3,37.5
2024-03-01,11,0,11,100.0
2024-03-01,11,1,7,63.6
2024-03-01,11,2,6,54.5
2024-03-01,11,3,3,27.3
2024-03-01,11,4,7,63.6
2024-03-01,11,5,6,54.5
2024-03-01,11,6,3,27.3
2024-03-01,11,7,7,63.6
2024-03-01,11,8,5,45.5
2024-03-01,11,9,7,63.6
2024-04-01,9,0,9,100.0
2024-04-01,9,1,6,66.7
2024-04-01,9,2,5,55.6
2024-04-01,9,3,2,22.2
2024-04-01,9,4,7,77.8
2024-04-01,9,5,5,55.6
2024-04-01,9,6,7,77.8
2024-04-01,9,7,5,55.6
2024-04-01,9,8,3,33.3
2024-05-01,12,0,12,100.0
2024-05-01,12,1,9,75.0
2024-05-01,12,2,7,58.3
2024-05-01,12,3,6,50.0
2024-05-01,12,4,8,66.7
2024-05-01,12,5,5,41.7
2024-05-01,12,6,7,58.3
2024-05-01,12,7,5,41.7
2024-06-01,13,0,13,100.0
2024-06-01,13,1,8,61.5
2024-06-01,13,2,7,53.8
2024-06-01,13,3,10,76.9
2024-06-01,13,4,6,46.2
2024-06-01,13,5,8,61.5
2024-06-01,13,6,7,53.8
2024-07-01,11,0,11,100.0
2024-07-01,11,1,6,54.5
2024-07-01,11,2,7,63.6
2024-07-01,11,3,8,72.7
2024-07-01,11,4,9,81.8
2024-07-01,11,5,9,81.8
2024-08-01,12,0,12,100.0
2024-08-01,12,1,10,83.3
2024-08-01,12,2,11,91.7
2024-08-01,12,3,10,83.3
2024-08-01,12,4,8,66.7
2024-09-01,11,0,11,100.0
2024-09-01,11,1,11,100.0
2024-09-01,11,2,10,90.9
2024-09-01,11,3,8,72.7
2024-10-01,15,0,15,100.0
2024-10-01,15,1,13,86.7
2024-10-01,15,2,14,93.3
2024-11-01,9,0,9,100.0
2024-11-01,9,1,8,88.9
2024-12-01,7,0,7,100.0
